year,picks,drafts,isDraftedBy,,0.292781895
2002,19,451,13,,0.117360396
2000,57,311,22,,0.424614475
2002,28,489,11,,0.063977802
2006,18,201,11,,0.647491968
2004,37,325,29,,0.406262039
2004,12,376,29,,0.28309381
2007,22,257,20,,0.517569014
2006,6,111,10,,0.804440723
2003,46,474,6,,0.081603221
2000,10,164,9,,0.705766296
1999,39,366,9,,0.296890023
2002,24,157,27,,0.723170173
2003,19,523,24,,0.008455958
2003,37,77,9,,0.884845648
2005,49,158,2,,0.722028426
2008,15,237,10,,0.564382767
2002,17,190,24,,0.664257708
2004,11,386,2,,0.252618945
2008,27,146,27,,0.745944565
2003,31,119,26,,0.790102729
2000,31,354,24,,0.315885637
2001,36,95,14,,0.845625605
2005,51,368,3,,0.293513792
2003,6,327,14,,0.396376358
1999,29,212,22,,0.622080544
1999,14,123,8,,0.786115402
2004,39,495,22,,0.052388065
2003,50,404,28,,0.221193835
2003,5,64,24,,0.904301134
1999,37,229,29,,0.586967003
2006,26,97,24,,0.838666661
2008,3,90,13,,0.860225721
2006,40,439,25,,0.148049508
2002,45,35,18,,0.94878427
2003,57,197,12,,0.655097863
2002,8,445,18,,0.130384465
2003,48,426,9,,0.176862815
2005,46,130,15,,0.772689245
2002,34,209,3,,0.626086666
2007,48,326,14,,0.40253137
1999,4,185,6,,0.670051159
2000,51,31,8,,0.958737317
2000,13,204,26,,0.641391904
2000,37,231,30,,0.586109027
1999,35,27,7,,0.962184939
2000,14,160,25,,0.717459169
2001,6,92,10,,0.853381873
1999,7,223,26,,0.603184338
2003,20,283,7,,0.482473018
2003,33,265,4,,0.507467463
2002,7,224,16,,0.602898734
2007,32,492,11,,0.060839973
1999,16,126,14,,0.779176566
2002,28,154,12,,0.729406015
2007,11,418,8,,0.195414821
2000,2,353,1,,0.321706995
1999,47,377,9,,0.281832377
2007,41,103,27,,0.826729148
2005,31,266,20,,0.507453155
2000,38,481,25,,0.071951286
2000,10,415,10,,0.199326041
2002,55,193,8,,0.658254081
2005,27,483,12,,0.069265412
1999,27,295,30,,0.461336982
2008,45,74,22,,0.888848122
2000,45,417,20,,0.19787018
1999,41,525,23,,0.003268176
2008,21,396,28,,0.229394962
2000,43,215,3,,0.615841886
2000,48,414,13,,0.200392401
1999,33,200,18,,0.647815416
2006,34,116,28,,0.79466328
2003,19,362,18,,0.297609155
2008,57,440,13,,0.143352017
2007,53,341,2,,0.355164689
2004,21,248,24,,0.537666244
1999,50,115,27,,0.795033577
2002,25,22,30,,0.96588937
2006,57,6,28,,0.991854674
2001,14,381,26,,0.279658091
2000,30,332,25,,0.378738251
1999,40,316,14,,0.416638141
2005,20,75,29,,0.887725828
2005,25,5,25,,0.994833914
2003,42,378,2,,0.281771296
2004,55,30,28,,0.9602914
2008,24,188,2,,0.667808765
2003,10,180,30,,0.678271747
2002,36,110,5,,0.804618437
2001,4,34,14,,0.949085325
2000,57,168,29,,0.699404083
2005,52,397,7,,0.228299463
2004,3,282,18,,0.483204105
2005,50,428,8,,0.174392361
2004,26,402,8,,0.223048995
2006,2,288,20,,0.470543652
2004,1,78,24,,0.881753206
2002,1,156,15,,0.723831013
2001,27,473,8,,0.083199667
2005,36,104,13,,0.826086075
2004,3,62,24,,0.907826236
2003,40,132,1,,0.768221004
1999,15,277,5,,0.491844282
2007,18,79,22,,0.878232786
2004,17,324,4,,0.406320213
2005,14,136,9,,0.7638813
2005,44,46,13,,0.935464134
2003,60,344,14,,0.352280579
2001,4,69,27,,0.894568365
2000,26,259,28,,0.516487464
2005,54,72,13,,0.890684551
2006,17,305,17,,0.438710333
2006,19,274,16,,0.495202
2006,53,140,17,,0.756553124
2007,48,479,1,,0.074012159
2005,29,437,27,,0.155881499
2004,32,151,7,,0.736432322
2001,29,63,20,,0.907574576
2003,1,53,12,,0.920938392
2008,51,406,24,,0.219217427
2003,52,17,5,,0.970163119
2000,19,363,29,,0.297343245
2006,31,37,17,,0.948581245
2000,45,39,27,,0.94643106
1999,39,207,23,,0.633668133
2005,16,452,13,,0.115854795
2000,54,121,13,,0.789121154
2001,13,419,16,,0.194388654
2005,32,360,27,,0.303788991
2001,22,338,11,,0.358769859
2002,11,323,14,,0.407476193
2002,11,367,7,,0.296114132
2006,40,342,26,,0.354768727
2007,32,175,15,,0.689418327
2006,55,238,28,,0.56344084
2008,50,84,1,,0.86474985
2002,46,297,15,,0.4574478
2005,21,379,5,,0.281471966
2008,58,450,6,,0.118978949
2007,59,475,19,,0.080791553
2007,10,413,18,,0.201105563
2002,49,502,12,,0.040555178
2005,15,464,16,,0.096839422
2007,48,129,13,,0.773112344
1999,24,100,3,,0.835893163
2002,23,120,11,,0.789488849
2006,39,334,21,,0.365769748
2007,57,448,18,,0.122129171
2002,3,401,5,,0.223393203
2007,12,133,6,,0.768132321
2001,41,244,8,,0.550896666
2002,37,24,16,,0.963988832
2000,10,285,22,,0.474823621
2004,59,392,16,,0.240690295
2000,5,315,7,,0.417219812
2007,27,23,23,,0.965418163
2006,58,20,27,,0.968791541
2007,30,340,19,,0.357136054
2002,38,173,24,,0.691275064
2001,44,194,2,,0.657746782
2007,58,294,21,,0.461738466
2007,5,94,6,,0.846531851
2005,54,82,11,,0.870881047
2002,54,261,2,,0.5140808
2005,19,395,24,,0.230454867
2006,38,240,11,,0.561036075
2002,54,128,12,,0.776901185
1999,8,284,14,,0.480536763
2003,51,216,22,,0.614012515
1999,53,149,19,,0.739573714
2005,15,409,6,,0.21026401
2006,35,218,30,,0.610696776
1999,32,234,27,,0.581073891
2003,44,258,9,,0.51745159
2008,22,347,10,,0.334082333
2001,2,210,6,,0.625902372
2000,57,337,26,,0.360254511
2001,13,66,28,,0.899063901
2003,34,348,30,,0.33397407
2000,42,252,20,,0.526856922
1999,23,278,21,,0.491490115
2003,31,349,6,,0.333504904
2003,50,500,10,,0.045208814
2005,58,83,30,,0.86948908
2007,6,42,3,,0.943984104
2004,1,255,7,,0.519813868
2005,7,296,15,,0.457510922
2008,53,510,30,,0.024503031
2003,23,206,11,,0.637769778
2000,28,407,5,,0.216413039
2005,15,131,17,,0.769920514
2000,39,57,29,,0.915397231
2001,56,267,5,,0.505289285
2008,9,243,11,,0.551413713
2008,29,169,19,,0.697218116
2004,2,447,21,,0.123103981
2002,55,507,30,,0.030205574
2008,6,491,15,,0.061611937
2000,44,508,20,,0.029430231
2006,31,36,23,,0.94877096
2005,56,408,28,,0.214607419
2005,1,254,27,,0.524287667
2005,50,148,14,,0.741785064
2005,5,486,1,,0.06531602
2007,24,109,15,,0.805156576
2003,50,28,1,,0.961442758
2008,46,429,13,,0.171284587
2005,33,455,29,,0.113750017
2004,40,501,22,,0.044027925
1999,59,14,23,,0.972751404
2004,40,515,17,,0.018120269
2002,8,230,8,,0.586612218
2004,54,494,12,,0.052651736
2000,8,8,4,,0.990685698
2003,52,260,13,,0.515905792
2000,12,516,8,,0.016415958
2000,51,85,15,,0.864662435
2003,41,336,13,,0.362388813
2008,18,187,22,,0.669866762
2000,55,518,9,,0.014778156
2008,28,387,28,,0.25156841
2006,48,394,11,,0.239915998
2000,45,228,10,,0.589120804
2005,27,134,11,,0.767770175
2006,28,281,1,,0.485153274
2006,52,286,24,,0.47381241
2007,34,526,13,,0.00312018
2006,26,503,30,,0.039528927
2000,44,400,29,,0.225899457
2006,48,497,10,,0.050100001
2000,49,89,8,,0.862611631
2001,3,76,8,,0.88635068
2005,55,505,29,,0.03435887
2007,11,183,18,,0.673701178
2006,15,13,24,,0.973787014
2004,35,124,9,,0.784659796
2007,3,465,20,,0.09430391
2006,49,514,16,,0.019027966
2006,48,382,21,,0.277930613
2006,4,98,17,,0.837189329
2000,47,199,4,,0.650970167
2006,22,91,29,,0.858162445
2001,8,399,22,,0.22768389
2001,58,227,17,,0.590432191
2007,45,412,24,,0.206850787
2002,42,346,8,,0.340485822
2004,33,270,30,,0.501784702
2005,15,427,30,,0.1752371
2003,7,352,29,,0.32795723
2008,59,219,24,,0.61063048
2007,1,355,7,,0.314502909
2006,12,454,9,,0.113959509
2006,36,88,25,,0.862831826
2001,32,280,19,,0.490599513
1999,25,52,8,,0.926714679
1999,43,411,30,,0.207714132
2001,31,143,1,,0.749420582
2008,35,269,22,,0.50246773
2005,14,493,16,,0.059985373
2000,18,519,8,,0.012243733
2003,23,369,12,,0.290655642
2007,18,496,18,,0.05133843
2004,37,521,11,,0.011168392
2003,59,108,4,,0.808757576
2008,28,442,17,,0.137377483
2005,42,70,8,,0.894275245
2005,50,421,2,,0.190057554
2006,8,335,23,,0.36426526
2004,55,73,9,,0.88895463
1999,57,460,27,,0.102062419
2002,53,273,11,,0.49581348
2005,16,306,22,,0.431198992
2000,13,380,19,,0.28138687
2001,57,3,20,,0.996031292
2008,45,312,2,,0.421409834
2008,43,484,20,,0.069106998
2002,56,309,4,,0.428380582
2007,30,356,25,,0.313779619
2005,13,463,9,,0.096875127
2001,8,213,23,,0.620435819
2002,12,279,5,,0.491416871
1999,58,517,8,,0.015286846
2005,5,113,7,,0.798985613
2002,31,155,12,,0.724968868
2008,3,467,8,,0.090644055
2003,59,264,21,,0.508611845
2007,60,220,26,,0.605815806
2007,16,482,20,,0.069403289
2002,29,225,2,,0.598137887
2004,52,203,14,,0.64263407
2008,14,256,12,,0.519215519
2002,33,471,10,,0.084847409
2004,42,435,12,,0.158943677
2001,21,268,19,,0.503458954
1999,12,383,20,,0.272408755
2006,9,391,27,,0.245707745
2006,20,410,21,,0.209305138
2007,35,107,4,,0.809222376
1999,38,48,1,,0.932043026
2001,47,184,10,,0.671185543
2002,60,350,18,,0.330275638
2002,37,446,27,,0.129320479
2003,55,272,1,,0.500257163
2004,31,345,13,,0.351930405
2005,22,192,4,,0.660931305
2000,30,80,26,,0.876880729
2008,42,44,28,,0.93875194
2005,50,51,15,,0.927681662
2001,9,86,5,,0.863980526
2007,49,144,17,,0.749018777
2006,10,370,24,,0.289026155
2000,50,476,28,,0.077047996
2001,26,246,20,,0.543774029
2002,30,125,13,,0.782222111
2007,25,522,25,,0.010869413
2002,50,524,18,,0.006449403
2000,10,176,18,,0.688017364
2001,3,242,20,,0.552581673
2005,4,112,11,,0.802507487
2006,28,339,8,,0.358639266
2003,40,29,8,,0.961316993
2007,29,275,27,,0.494793238
2000,9,329,25,,0.384534767
2001,52,302,10,,0.443872793
2008,59,141,10,,0.752129511
2005,26,303,1,,0.443608202
2001,21,432,5,,0.162183176
2005,34,374,3,,0.284685812
2004,33,304,5,,0.440622637
1999,31,299,29,,0.44547831
1999,37,247,11,,0.539269353
2003,22,322,2,,0.4077417
1999,29,159,30,,0.719682568
2005,6,310,4,,0.428236473
2001,50,245,25,,0.548356052
2002,2,33,24,,0.950341527
2000,2,441,5,,0.14089674
1999,51,289,7,,0.4705419
2004,45,371,30,,0.287636942
2001,27,434,9,,0.160283358
2002,1,99,10,,0.83624174
2002,31,358,13,,0.31215074
1999,12,359,30,,0.311638432
2007,58,477,10,,0.076967739
1999,46,253,19,,0.525537615
2002,9,32,9,,0.951401348
2008,20,177,16,,0.684262883
2008,13,172,7,,0.693692119
2000,60,331,15,,0.381504387
2003,20,287,20,,0.472285488
2005,58,438,16,,0.152469789
1999,37,186,10,,0.669928235
2001,13,236,2,,0.571631794
1999,18,263,4,,0.509167105
2007,8,60,13,,0.911911851
2002,8,153,26,,0.730328391
1999,34,343,8,,0.352903475
2006,41,2,24,,0.999408272
2001,7,393,13,,0.24002747
2004,35,388,16,,0.249118378
2001,12,250,6,,0.531164555
2006,7,292,10,,0.467061069
2005,14,195,27,,0.657157799
2005,27,351,11,,0.330006158
2001,4,19,19,,0.969728394
2005,47,25,22,,0.963562986
1999,59,480,7,,0.072932325
2007,49,458,27,,0.111465356
2005,20,1,23,,0.999628171
2004,23,372,22,,0.287172972
2001,57,101,3,,0.832684273
2000,21,117,1,,0.794659322
2004,49,498,15,,0.048104742
2005,28,162,21,,0.711799989
1999,56,50,11,,0.931372684
2006,16,469,23,,0.085585591
1999,10,214,14,,0.616539752
2003,1,251,25,,0.529207938
2004,7,466,2,,0.091582388
2001,12,145,11,,0.748367442
2001,60,167,3,,0.699450838
2000,21,163,27,,0.710647579
2001,31,509,10,,0.026045761
2007,54,165,25,,0.70414445
2003,49,232,14,,0.582769568
2001,44,174,27,,0.690752628
2001,55,430,29,,0.168108163
2005,38,45,15,,0.937123956
2007,14,241,5,,0.558425824
2003,48,137,7,,0.762690529
1999,26,142,29,,0.74974353
2005,47,171,17,,0.69600254
2006,21,208,3,,0.6279958
2005,26,56,9,,0.917274489
2002,4,271,26,,0.501699496
2000,21,12,18,,0.979127761
2003,55,375,17,,0.284136542
2002,15,461,27,,0.102023398
2007,5,449,5,,0.121870733
2005,42,313,3,,0.421042123
2007,49,239,6,,0.562809712
2001,58,43,1,,0.941396891
1999,22,150,9,,0.739031656
2004,1,205,13,,0.640652343
2004,6,361,13,,0.300421072
2008,21,431,7,,0.166995345
2007,21,93,24,,0.849741689
2005,46,499,24,,0.047582335
2006,54,318,9,,0.415092748
2006,13,222,29,,0.603274914
2001,60,290,6,,0.470176165
2004,11,457,11,,0.111613726
2004,19,11,23,,0.981998769
2007,60,118,25,,0.79457095
2007,43,21,9,,0.965942705
2007,28,365,1,,0.296968086
2000,20,462,15,,0.099656591
2001,20,298,27,,0.447700292
2005,50,453,7,,0.115312414
2000,2,139,29,,0.758612129
2004,15,58,13,,0.912965534
2002,14,468,28,,0.089315717
1999,8,196,1,,0.655985011
1999,39,320,2,,0.409210316
2007,16,317,10,,0.416199043
2001,7,191,10,,0.662006608
2004,54,170,3,,0.696711593
2006,12,319,29,,0.414972161
2006,40,425,6,,0.183729024
2005,13,189,10,,0.667663314
2002,52,233,19,,0.581757826
2005,3,81,1,,0.875366456
1999,55,217,24,,0.613355419
1999,51,291,24,,0.467936284
2004,25,16,25,,0.970205239
2004,21,333,9,,0.372761056
1999,54,127,21,,0.778275407
2002,12,65,18,,0.90133326
2008,53,54,11,,0.920806532
2008,59,490,1,,0.063489666
2008,9,67,11,,0.895801591
2004,48,456,4,,0.113214904
2001,30,96,20,,0.839461562
2001,16,235,19,,0.575545867
2005,52,49,3,,0.931651642
2002,31,314,2,,0.419845328
2002,60,459,8,,0.108725313
2002,50,472,22,,0.084232018
2006,5,178,14,,0.683869988
2007,46,364,13,,0.297192341
2002,6,9,25,,0.984262106
2002,60,114,9,,0.795446827
2008,52,7,27,,0.990845746
2005,21,181,28,,0.677145187
2004,47,138,18,,0.760592849
2005,45,15,8,,0.97150078
2001,55,40,10,,0.945091488
2008,14,166,17,,0.700826829
2007,46,249,1,,0.537084631
2006,9,262,28,,0.511170503
2004,19,433,25,,0.161788229
2006,44,221,24,,0.60424053
2003,2,513,18,,0.020745159
2007,59,506,26,,0.0327718
2008,46,10,19,,0.982941725
2005,35,436,14,,0.155999533
2000,44,478,4,,0.07449839
2000,40,307,28,,0.43024238
1999,37,321,19,,0.40899269
2001,10,87,27,,0.863636707
2002,51,68,13,,0.895275772
2002,54,420,7,,0.193924393
1999,8,389,8,,0.247867386
2004,24,300,3,,0.445167429
2007,18,276,3,,0.492715409
2008,9,485,28,,0.067913141
2004,41,47,24,,0.932124143
2008,14,59,3,,0.912385105
2001,22,488,18,,0.06481051
2001,48,423,8,,0.189499468
2007,58,4,21,,0.995877162
2002,41,443,9,,0.133658176
2005,25,403,8,,0.222031879
2007,40,161,1,,0.715621007
2001,35,105,11,,0.825816276
2004,26,135,9,,0.766185385
2004,39,182,6,,0.674977456
2001,10,26,30,,0.962421212
2007,55,308,29,,0.428710712
2004,10,398,20,,0.22805547
2005,22,122,28,,0.787930083
2003,27,102,22,,0.827480583
2004,37,424,14,,0.18473416
2006,50,106,20,,0.82296366
2007,38,211,10,,0.624214835
2004,12,38,25,,0.946794262
2008,38,202,12,,0.643885346
2006,58,385,17,,0.254578551
2000,15,198,15,,0.652233129
2004,19,55,7,,0.917740709
1999,5,384,19,,0.26718602
2006,59,416,16,,0.19813295
2006,12,512,8,,0.021342139
2004,3,152,17,,0.733368162
2004,51,357,1,,0.312163802
2004,13,373,13,,0.284854766
2003,57,226,21,,0.596620532
2007,51,504,2,,0.036605491
2002,37,18,28,,0.969785978
2006,19,511,22,,0.02319269
2001,38,487,6,,0.064810897
2008,60,444,6,,0.132808487
2007,2,293,17,,0.466821059
1999,14,41,30,,0.944113234
1999,14,520,16,,0.011417808
2007,30,71,6,,0.89402915
1999,48,330,27,,0.382510346
2005,5,422,19,,0.1896688
2005,8,147,14,,0.745399491
2004,51,470,23,,0.085164892
2002,43,179,17,,0.683726634
2002,31,61,17,,0.909655284
1999,38,405,6,,0.219910632
2002,28,301,7,,0.444945389
2008,36,390,22,,0.246134807
2004,34,328,22,,0.392316529